1835, 3814, 1357, 4257, 3577, 229, 2905, 101, 1001, 3850, 2105, 4073, 4063, 633, 1127, 2068, 371, 4396, 1085, 535, 3715, 1857, 61, 3018, 2570, 2751, 873, 2495, 1223, 2071, 
4956, 5554, 7368, 7916, 2868, 9529, 6083, 8542, 4605, 1691, 2807, 2745, 6855, 6399, 6202, 4313, 3942, 8614, 2586, 5704, 9257, 864, 1275, 3269, 5844, 2731, 2370, 5146, 8960, 4426, 
3444, 8846, 12630, 1505, 11105, 10416, 5309, 13166, 1430, 10298, 12729, 784, 5689, 938, 1288, 1485, 6052, 2672, 1938, 13994, 9078, 10130, 10382, 14945, 6150, 7797, 9745, 12724, 1330, 8342, 
19952, 8243, 12775, 19746, 798, 10761, 14471, 13668, 1727, 708, 3966, 14552, 8816, 16659, 5120, 2081, 19240, 8432, 14465, 18695, 19550, 4736, 10762, 3436, 16659, 2738, 18810, 3010, 17135, 12663, 
10175, 22760, 561, 701, 21521, 17253, 2238, 2947, 4718, 12550, 12594, 15415, 14883, 4834, 20972, 23894, 20677, 22506, 1509, 15465, 19912, 7499, 9813, 16569, 15940, 14219, 1774, 14730, 18126, 11267, 
22812, 6386, 20594, 10327, 27599, 20755, 28233, 24383, 26921, 11109, 23828, 12746, 966, 17795, 18615, 9936, 16528, 4396, 4953, 14510, 16004, 14471, 14896, 27119, 22015, 11463, 19211, 27195, 16062, 6474, 
14910, 23914, 28765, 15887, 20220, 5448, 1606, 20524, 20329, 17534, 9665, 3750, 12422, 9028, 17638, 25141, 9254, 14686, 34691, 14430, 17457, 14629, 32906, 20522, 12352, 14282, 9357, 29650, 15369, 26482, 
30465, 26424, 14479, 5698, 16342, 20158, 35502, 6963, 6486, 27038, 5511, 37266, 37795, 16854, 33662, 13532, 6302, 21060, 6946, 30738, 19211, 1655, 8523, 31927, 9822, 11410, 22058, 20198, 6606, 31663, 
3732, 9984, 31107, 15686, 22851, 6916, 35739, 35640, 26063, 34205, 19666, 31758, 28163, 14092, 23797, 30926, 17163, 24050, 28698, 15001, 29310, 32345, 11023, 27153, 38222, 11271, 36945, 32180, 42035, 41331, 
25282, 11513, 38859, 46815, 33613, 24303, 24731, 3684, 7935, 1410, 38598, 40278, 22247, 10122, 35760, 44248, 27973, 28014, 12896, 12298, 49778, 11793, 32830, 32145, 20916, 47459, 5254, 46618, 22202, 39655, 
